"Project ID","2"
"Project","OneApp"
"Exported at","2026-01-30T17:42:57.282Z"

"Case","Description","Folder","Notes","Preconditions","Priority","Steps (Expected)","Steps (Step)","Case ID","Automation","Configurations","Created at","Created by","Estimate","Expected","Forecast","Issues","State","Status (latest)","Status date","Steps (Text)","Tags","Template","Updated at","Updated by"
"Stop - Initiated","","TCU2K","","<p>User is in the Home screen</p><p>Engine has been turned on successfully</p>","Medium","<p>User should see a confirmation modal: </p><ul><li>TCU2K: ""Are you sure? This action will remotely stop your vehicle."" with two buttons ""No"" and ""Yes""</li></ul>
<p>A modal is dismissed</p>
<p>User should see a confirmation modal: </p><ul><li>TCU2K: ""Are you sure? This action will remotely stop your vehicle."" with two buttons ""No"" and ""Yes""</li></ul>
<p><code>EngineStop</code> API and <code>CheckEngineServiceRequest</code> API are triggered.</p><p>User should see an ""Engine STOP"" button is changed to a spinner.</p><p>User should see toast messages that transition from: </p><ul><li>Contacting &lt;year and model&gt; to stop engine...</li><li>Initiating engine stop on &lt;year and model&gt;...</li></ul><p>User should see the countdown timer during the Engine STOP is polling </p>","<p>User taps an Engine STOP button</p>
<p>User taps ""No"" button on confirmation modal</p>
<p>User taps an Engine STOP button again</p>
<p>User taps ""Yes"" button on confirmation modal</p>","611","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.423Z","Diego Del Aguila","","","102.8","","Active","Passed","2026-01-13T17:33:06.268Z","","automation-candidate,regression,smoke","Case (steps)","2025-09-22T14:02:27.123Z","Gemma Diaz Santa Cruz"
"Stop - Success - TCU2K","","TCU2K","","<p>User has a TCU2K vehicle</p><p>User is on the Home screen</p><p>User has sent an Engine STOP request</p><p>CheckEngineServiceRequest API response:<br /><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkEngineServiceRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""SUCCESS"",</code></p><p><code>      ""statusDetails"": null</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>","Sanity","<p>An ""Engine STOP"" button icon changed to the default state</p><p>A success toast ""&lt;year and model&gt; Engine Stopped."" is displayed at the bottom<br /><br />A countdown timer is dismissed in the Hero section, Fuel Remaining is displayed instead</p>","<p>Engine STOP request has resolved into a success</p>","612","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.437Z","Diego Del Aguila","","","68.063","","Active","Passed","2026-01-13T17:33:06.268Z","","automation-candidate,regression,smoke,update-required","Case (steps)","2025-09-22T14:02:51.360Z","Gemma Diaz Santa Cruz"
"Start - Fail","","TCU2K","","<p>User is in the Home screen</p><p>User has sent an Engine Start request</p><p>CheckEngineServiceRequest API response:<br /><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkEngineServiceRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""FAILED"",</code></p><p><code>      ""statusDetails"": null</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>","Sanity","<p>User should see a toast at the bottom of the screen:</p><ul><li>TCU2K: ""&lt;year and model&gt; failed to start.""</li></ul>","<p>Engine Start request has resolved into a failure</p>","32538","No","Android, Prod,Prod, iOS","2025-04-07T18:05:04.153Z","Mariia Tupchii","","","84.652","","Draft","","","","proxyman,regression","Case (steps)","2025-04-15T19:48:14.606Z","Mariia Tupchii"
"Stop - Fail","","TCU2K","","<p>User is in the Home screen</p><p>User has sent an Engine STOP request</p><p>CheckEngineServiceRequest API response:<br /><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkEngineServiceRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""FAILED"",</code></p><p><code>      ""statusDetails"": null</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>","Medium","<p>User should see a toast at the bottom of the screen:</p><ul><li><p>TCU2K: ""&lt;year and model&gt; failed to stop.</p><p>User should continue seeing a countdown timer </p></li></ul>","<p>Engine STOP request has resolved into a failure</p>","32540","No","Android, Prod,Prod, iOS","2025-04-07T18:05:13.011Z","Mariia Tupchii","","","133.667","","Draft","","","","proxyman,regression","Case (steps)","2025-04-15T19:48:28.095Z","Mariia Tupchii"
"Start - Initiated","","AVK","","<p>User is in the Home screen</p>","Critical","<p>User should see a confirmation modal: </p><ul><li>AVK: ""Are you sure? This action will remotely start your vehicle."" with two buttons ""No"" and ""Yes""</li></ul>
<p>A modal is dismissed</p>
<p>User should see a confirmation modal: </p><ul><li>AVK: ""Are you sure? This action will remotely start your vehicle."" with two buttons ""No"" and ""Yes""</li></ul>
<p><code>EngineStart</code> API and <code>CheckEngineServiceRequest</code> API are triggered</p><p>User should see an ""Engine"" button is changed to a spinner</p><p>User should see toast messages that transition from: </p><ul><li>Contacting &lt;year and model&gt; to start engine...</li><li>Waking &lt;year and model&gt; to start engine...</li><li>Initiating engine start on &lt;year and model&gt;...</li></ul>","<p>User taps an ""Engine"" button<br /> </p>
<p>User taps ""No"" on confirmation modal</p>
<p>User taps an ""Engine"" button again</p>
<p>User taps ""Yes"" on confirmation modal</p>","32535","No","Android, Prod,Prod, iOS","2025-04-07T18:03:51.744Z","Mariia Tupchii","","","104","","Active","Passed","2026-01-13T17:33:52.971Z","","automation-candidate,general-sweep,regression,smoke","Case (steps)","2025-09-22T14:03:20.896Z","Gemma Diaz Santa Cruz"
"Start - Success - AVK","","AVK","","<p>User has an AVK vehicle</p><p>User is on the Home screen</p><p>User has sent an Engine Start request</p><p>CheckEngineServiceRequest API response:<br /><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkEngineServiceRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""SUCCESS"",</code></p><p><code>      ""statusDetails"": null</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>","Sanity","<p>An ""Engine"" button icon changed to ""STOP""</p><p>A success toast ""&lt;year and model&gt; Engine Started"" is displayed at the bottom<br /><br />A countdown timer (10 min) and ""Engine Running"" text are displayed in the Hero section instead of Fuel Remaining</p>","<p>Engine Start request has been resolved into a success</p>","11108","No","Android, Prod,Prod, iOS","2024-01-04T07:53:53.469Z","Victor Wung","","","160","","Active","Passed","2026-01-13T17:33:52.971Z","","automation-candidate,regression,smoke","Case (steps)","2025-09-22T14:03:37.691Z","Gemma Diaz Santa Cruz"
"Start/Stop Timer - AVK","","AVK","","<p>The vehicle engine has been started successfully</p><p>The Countdown timer is displayed in the Hero section (10 min)</p>","Sanity","<p>User should see:</p><ul><li>the countdown timer is dismissed in the Hero section, Fuel Remaining is displayed in the Hero section instead</li><li>the STOP Engine button is changed to the default state</li><li>the toast ""&lt;year and model&gt; engine turned off"" is displayed in the bottom of the screen</li></ul>","<p>Wait for 10 minutes to check the app's behavior</p>","610","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.409Z","Diego Del Aguila","","","539.48","","Active","Passed","2026-01-13T17:33:52.971Z","","automation-candidate,regression,smoke","Case (steps)","2025-09-22T14:03:52.537Z","Gemma Diaz Santa Cruz"
"Stop - Initiated","","AVK","","<p>User is in the Home screen</p><p>Engine has been turned on successfully</p>","Medium","<p>User should see a confirmation modal: </p><ul><li>AVK: ""Are you sure? This action will remotely stop your vehicle."" with two buttons ""No"" and ""Yes""</li></ul>
<p>A modal is dismissed</p>
<p>User should see a confirmation modal: </p><ul><li>AVK: ""Are you sure? This action will remotely stop your vehicle."" with two buttons ""No"" and ""Yes""</li></ul>
<p><code>EngineStop</code> API and <code>CheckEngineServiceRequest</code> API are triggered.</p><p>User should see an ""Engine STOP"" button is changed to a spinner.</p><p>User should see toast messages that transition from: </p><ul><li>Contacting &lt;year and model&gt; to stop engine...</li><li>Initiating engine stop on &lt;year and model&gt;...</li></ul><p>User should see the countdown timer during the Engine STOP is polling </p>","<p>User taps an Engine STOP button</p>
<p>User taps ""No"" button on confirmation modal</p>
<p>User taps an Engine STOP button again</p>
<p>User taps ""Yes"" button on confirmation modal</p>","32536","No","Android, Prod,Prod, iOS","2025-04-07T18:03:55.797Z","Mariia Tupchii","","","102.8","","Active","Passed","2026-01-13T17:33:52.971Z","","automation-candidate,regression,smoke,update-required","Case (steps)","2025-09-22T14:07:51.178Z","Gemma Diaz Santa Cruz"
"Stop - Success - AVK","","AVK","","<p>User has an AVK vehicle</p><p>User is on the Home screen</p><p>User has sent an Engine STOP request</p><p>CheckEngineServiceRequest API response:<br /><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkEngineServiceRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""SUCCESS"",</code></p><p><code>      ""statusDetails"": null</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>","Sanity","<p>An ""Engine STOP"" button icon changed to the default state</p><p>A success toast ""&lt;year and model&gt; Engine Stopped."" is displayed at the bottom<br /><br />A countdown timer is dismissed in the Hero section, Fuel Remaining is displayed instead</p>","<p>Engine STOP request has resolved into a success</p>","11109","No","Android, Prod,Prod, iOS","2024-01-04T07:55:39.202Z","Victor Wung","","","101.9","","Active","Passed","2026-01-13T17:33:52.971Z","","automation-candidate,regression,smoke","Case (steps)","2025-09-22T14:08:09.335Z","Gemma Diaz Santa Cruz"
"Start - Fail","","AVK","","<p>User is in the Home screen</p><p>User has sent an Engine Start request</p><p>CheckEngineServiceRequest API response:<br /><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkEngineServiceRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""FAILED"",</code></p><p><code>      ""statusDetails"": null</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>","Sanity","<p>User should see a toast at the bottom of the screen:</p><ul><li>AVK: ""&lt;year and model&gt; failed to start.""</li></ul>","<p>Engine Start request has resolved into a failure</p>","32539","No","Android, Prod,Prod, iOS","2025-04-07T18:05:08.639Z","Mariia Tupchii","","","84.652","","Draft","","","","proxyman,regression","Case (steps)","2025-04-15T19:50:06.852Z","Mariia Tupchii"
"Stop - Fail","","AVK","","<p>User is in the Home screen</p><p>User has sent an Engine STOP request</p><p>CheckEngineServiceRequest API response:<br /><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkEngineServiceRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""FAILED"",</code></p><p><code>      ""statusDetails"": null</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>","Medium","<p>User should see a toast at the bottom of the screen:</p><ul><li><p>AVK: ""&lt;year and model&gt; failed to stop.</p><p>User should continue seeing a countdown timer </p></li></ul>","<p>Engine STOP request has resolved into a failure</p>","32541","No","Android, Prod,Prod, iOS","2025-04-07T18:05:16.944Z","Mariia Tupchii","","","133.667","","Draft","","","","proxyman,regression","Case (steps)","2025-04-15T19:50:16.394Z","Mariia Tupchii"
"Start/Stop Timer - AVK2","","AVK2","","<p>The vehicle engine has been started successfully</p><p>The Countdown timer is displayed in the Hero section (10 min or 20 min)</p>","Sanity","<p>User should see:</p><ul><li>the countdown timer and the climate icon are dismissed in the Hero section, Fuel Remaining is displayed in the Hero section instead</li><li>the STOP Engine button is changed to the default state</li><li>the toast ""&lt;year and model&gt; engine turned off"" is displayed in the bottom of the screen</li></ul>","<p>Wait for 10 mins or 20 mins to check the app's behavior</p>","32496","No","Android, Prod,Prod, iOS","2025-04-02T19:55:15.013Z","Mariia Tupchii","","","539.48","","Active","","","","automation-candidate,regression,smoke","Case (steps)","2025-09-22T14:08:30.124Z","Gemma Diaz Santa Cruz"
"Home - Start Engine/Climate - Initiated","<p><a href=""https://www.pivotaltracker.com/story/show/185088490"">https://www.pivotaltracker.com/story/show/185088490</a><br />https://www.pivotaltracker.com/story/show/188615366</p>","AVK2","","<p>AVK2 vehicle<br />Engine is OFF</p>","Sanity","<p>User should see a confirmation modal: </p><ul><li>AVK2: ""Are you sure? This action will remotely start your vehicle and start your default climate settings. Would you like to proceed?"" with two buttons ""No"" and ""Yes""</li></ul>
<p>A modal is dismissed</p>
<p>User should see a confirmation modal: </p><ul><li>AVK2: ""Are you sure? This action will remotely start your vehicle and start your default climate settings. Would you like to proceed?"" with two buttons ""No"" and ""Yes""</li></ul>
<p><code>EngineStart</code> API and <code>CheckEngineServiceRequest</code> API are triggered</p><p>User should see an ""Engine"" button is changed to a spinner and is disabled</p><p>User should see toast messages that transition from: </p><ul><li>Contacting &lt;year and model&gt; to start engine...</li><li>Waking &lt;year and model&gt; to start engine...</li><li>Initiating engine start on &lt;year and model&gt;...</li></ul><p>User should see a loading state on Climate card - parameters sent in the request should match the selected parameters from <code>climateDefaults</code> API</p>","<p>User taps an ""Engine"" button</p>
<p>User taps ""No"" on confirmation modal</p>
<p>User taps an ""Engine"" button again</p>
<p>User taps ""Yes"" on confirmation modal</p>","2690","No","Android, Prod,Prod, iOS","2023-09-07T21:10:07.773Z","Allen Chen","","","144.261","","Draft","Passed","2026-01-13T19:24:39.500Z","","automation-candidate,ccs2,general-sweep","Case (steps)","2025-09-22T14:08:53.732Z","Gemma Diaz Santa Cruz"
"Home - Start Engine/Climate - RES_FAILED","<p><a href=""https://www.pivotaltracker.com/story/show/185088490"">https://www.pivotaltracker.com/story/show/185088490</a></p><p><a href=""https://www.pivotaltracker.com/story/show/185988990"">https://www.pivotaltracker.com/story/show/185988990</a></p><p>https://www.pivotaltracker.com/story/show/188615366</p>","AVK2","","<p>AVK2 vehicle<br />Engine is PENDING</p>","Sanity","<p>User should see a toast saying:</p><ul><li>EN:""Remote engine and climate control did not start for &lt;year and model&gt;"" (5 seconds)</li><li>FR: ""Le démarrage du moteur et du contrôle climat à distance ne sont pas réussis pour &lt;ANNÉE MODÈLE &amp; MODÈLE DU VÉHICULE&gt;"" (5 seconds)</li><li>ES: ""No se encendieron remotamente ni el motor ni el aire acondicionado para &lt;MODELO DEL VEHÍCULO Y AÑO DEL MODELO&gt;"" (5 seconds)</li></ul><p>User should see the Start Engine button returns to the default (enabled) state<br /><br />User should see the Climate card with secondary text Off</p>","<p><code>statusDetails</code> returns with <code>RES_FAILED</code> and <code>status</code> returns <code>FAILED</code> or 210 seconds have elapsed since sending the initial command</p>","2692","No","Android, Prod,Prod, iOS","2023-09-07T21:10:07.800Z","Allen Chen","","","79.263","","Draft","Passed","2026-01-13T19:24:39.500Z","","ccs2,proxyman","Case (steps)","2025-04-17T17:19:03.868Z","Mariia Tupchii"
"Home - Start Engine/Climate - HVAC_FAILED","<p><a href=""https://www.pivotaltracker.com/story/show/185088490"">https://www.pivotaltracker.com/story/show/185088490</a></p><p><a href=""https://www.pivotaltracker.com/story/show/185988990"">https://www.pivotaltracker.com/story/show/185988990</a></p><p>https://www.pivotaltracker.com/story/show/188615366</p>","AVK2","","<p>AVK2 vehicle<br />Engine is PENDING</p>","Sanity","<p>User should see a toast saying:</p><ul><li>EN: ""Remote engine start was successful and climate control did not start for &lt;year and model&gt;"" (5 seconds)</li><li>FR: ""Le démarrage du moteur à distance est réussi et le contrôle climat n'est pas réussi pour&lt;ANNÉE MODÈLE &amp; MODÈLE DU VÉHICULE&gt;"" (5 seconds)</li><li>ES: ""Se ha encendido remotamente el motor, pero el aire acondicionado no, para &lt;AÑO DEL MODELO Y MODELO DEL VEHÍCULO&gt;"" (5 seconds)</li></ul><p>User should see a countdown timer (10 mins) and ""Engine Running"" text are displayed in the Hero section instead of Fuel Remaining</p><p>User should see the Engine button icon is changed to Stop</p><p>User should see the Climate card text Off</p><p>User should not see the climate icon in the Hero section</p>","<p><code>statusDetails</code> returns with <code>HVAC_FAILED</code> and <code>status</code> returns <code>FAILED</code> </p>","2841","No","Android, Prod,Prod, iOS","2023-09-13T10:08:04.068Z","Victor Wung","","","82.167","","Draft","Passed","2026-01-13T19:24:39.500Z","","ccs2,proxyman","Case (steps)","2025-04-17T17:19:12.777Z","Mariia Tupchii"
"Home - Start Engine/Climate - RES_UNKNOWN","<p><a href=""https://www.pivotaltracker.com/story/show/185088490"">https://www.pivotaltracker.com/story/show/185088490</a></p><p><a href=""https://www.pivotaltracker.com/story/show/185988990"">https://www.pivotaltracker.com/story/show/185988990</a></p><p>https://www.pivotaltracker.com/story/show/188615366</p>","AVK2","","<p>AVK2 vehicle<br />Engine is PENDING</p>","Sanity","<p>User should see a toast saying:</p><ul><li>EN: ""Remote engine and climate start are unconfirmed, check your &lt;year and model&gt;"" (5 seconds)</li><li>FR: ""Le démarrage du moteur et du contrôle climat à distance ne sont pas confirmés, voyez votre &lt;ANNÉE MODÈLE &amp; MODÈLE DU VÉHICULE&gt;"" (5 seconds)</li><li>ES: ""El encendido remoto y el clima están desconfigurados. Revisa tu &lt;AÑO DEL MODELO Y MODELO DEL VEHÍCULO&gt;"" (5 seconds)</li></ul><p>User should see the Start Engine button returns to the default (enabled) state<br /><br />User should see the Climate card with secondary text Off</p>","<p><code>statusDetails</code> returns with <code>RES_UNKNOWN</code> and <code>status</code> returns <code>FAILED</code> </p>","32542","No","Android, Prod,Prod, iOS","2025-04-08T18:53:25.818Z","Mariia Tupchii","","","82.167","","Draft","","","","ccs2,proxyman","Case (steps)","2025-04-17T17:19:20.201Z","Mariia Tupchii"
"Home - Start Engine/Climate - DOUBLERES_FAILED","<p><a href=""https://www.pivotaltracker.com/story/show/185088490"">https://www.pivotaltracker.com/story/show/185088490</a></p><p><a href=""https://www.pivotaltracker.com/story/show/185988990"">https://www.pivotaltracker.com/story/show/185988990</a></p><p>https://www.pivotaltracker.com/story/show/188615366</p>","AVK2","","<p>AVK2 vehicle<br />Engine is PENDING</p>","Sanity","<p>User should see a toast saying:</p><ul><li>EN: ""Remote engine and climate control was started for &lt;MODEL YEAR &amp; VEHICLE MODEL&gt;"" (5 seconds)</li><li>FR: ""Le démarrage du moteur et du contrôle climat à distance sont réussis pour &lt;ANNÉE MODÈLE &amp; MODÈLE DU VÉHICULE&gt;"" (5 seconds)</li><li>ES: ""El encendido remoto y el control del aire acondicionado se encendieron para &lt;AÑO DEL MODELO Y MODELO DEL VEHÍCULO&gt;"" (5 seconds)</li></ul><p>User should see a countdown timer (20 mins), ""Engine Running"" text and Climate icon in the Hero section instead of Fuel Remaining <br /><br />User should see the Engine button is changed to Stop<br /><br />User should see the Climate card update secondary text to On</p>
<p>User should see a toast saying:</p><ul><li>EN: ""Remote engine and climate control are ending soon for &lt;MODEL YEAR &amp; VEHICLE MODEL&gt;"" (5 seconds)</li><li>FR: ""Le démarrage du moteur et du contrôle climat à distance se termineront bientôt pour &lt;ANNÉE MODÈLE &amp; MODÈLE DU VÉHICULE&gt;"" (5 seconds)</li><li>ES: ""El encendido remoto y el control del aire acondicionado se terminarán pronto para &lt;AÑO DEL MODELO Y MODELO DEL VEHÍCULO&gt;"" (5 seconds)</li></ul><p>User should see engine countdown timer is reduced to 10 mins</p><p>User should see the climate icon and ""Engine Running"" text is displayed instead of Fuel Remaining in the Hero section</p><p>User should see the Engine button as a Stop and Climate card with secondary text On  </p>","<p><code>statusDetails</code> returns with <code>HVAC_SUCCESS</code> and<br /><code>status</code> returns with <code>PENDING</code></p>
<p><code>statusDetails</code> returns with <code>DOUBLERES_FAILED</code> and<br /><code>status</code> returns with <code>FAILED</code></p>","2842","No","Android, Prod,Prod, iOS","2023-09-13T10:08:04.068Z","Victor Wung","","","112.4","","Draft","Passed","2026-01-13T19:24:39.500Z","","ccs2,proxyman","Case (steps)","2025-04-17T17:19:27.321Z","Mariia Tupchii"
"Home - Start Engine/Climate - HVAC_SUCCESS","<p><a href=""https://www.pivotaltracker.com/story/show/185088490"">https://www.pivotaltracker.com/story/show/185088490</a></p><p><a href=""https://www.pivotaltracker.com/story/show/185988990"">https://www.pivotaltracker.com/story/show/185988990</a></p><p>https://www.pivotaltracker.com/story/show/188615366</p>","AVK2","","<p>AVK2 vehicle<br />Engine is PENDING</p>","Sanity","<p>User should see a toast saying:</p><ul><li>EN: ""Remote engine and climate control was started for &lt;year and model&gt;"" (5 seconds)</li><li>FR: ""Le démarrage du moteur et du contrôle climat à distance sont réussis pour &lt;ANNÉE MODÈLE &amp; MODÈLE DU VÉHICULE&gt;"" (5 seconds)</li><li>ES: ""El encendido remoto y el control del aire acondicionado se encendieron para &lt;AÑO DEL MODELO Y MODELO DEL VEHÍCULO&gt;"" (5 seconds)</li></ul><p>User should see a countdown timer (20 mins), ""Engine Running"" text and Climate icon in the Hero section instead of Fuel Remaining <br /><br />User should see the Engine button is changed to Stop<br /><br />User should see the Climate card update secondary text to On</p>","<p><code>statusDetails</code> returns with <code>HVAC_SUCCESS</code> and <code>status</code> continues to return <code>PENDING</code></p>","2840","No","Android, Prod,Prod, iOS","2023-09-13T10:08:04.068Z","Victor Wung","","","338.85","","Draft","Passed","2026-01-13T19:24:39.500Z","","automation-candidate,ccs2,proxyman","Case (steps)","2025-09-22T14:09:10.861Z","Gemma Diaz Santa Cruz"
"Home - Stop Engine/Climate - Initiated","<p><a href=""https://www.pivotaltracker.com/story/show/185088492"">https://www.pivotaltracker.com/story/show/185088492</a></p>","AVK2","","<p>User has an AVK2 vehicle<br />Engine is ON</p>","Medium","<p>User should see a confirmation modal: </p><ul><li>AVK2: ""Are you sure? This action will remotely stop your vehicle and stop your climate settings. Would you like to proceed?"" with two buttons ""No"" and ""Yes""</li></ul>
<p>A modal is dismissed</p>
<p>User should see a confirmation modal: </p><ul><li>AVK2: ""Are you sure? This action will remotely stop your vehicle and stop your climate settings. Would you like to proceed?"" with two buttons ""No"" and ""Yes"" </li></ul>
<p><code>EngineStop</code> API and <code>CheckEngineServiceRequest</code> API are triggered.</p><p>User should see an ""Engine STOP"" button is changed to a spinner, is disabled, loading state on the Climate card.</p><p>User should see toast messages that transition from: </p><ul><li>Contacting &lt;year and model&gt; to stop engine...</li><li>Initiating engine stop on &lt;year and model&gt;...</li></ul><p>User should see the countdown timer and climate icon during the Engine STOP is polling </p>","<p>User taps an Engine STOP button</p>
<p>User taps ""No"" button on confirmation modal</p>
<p>User taps an Engine STOP button again</p>
<p>User taps ""Yes"" button on confirmation modal</p>","2694","No","Android, Prod,Prod, iOS","2023-09-07T21:10:07.822Z","Allen Chen","","","57","","Draft","Passed","2026-01-13T19:24:39.500Z","","automation-candidate,proxyman","Case (steps)","2025-09-22T14:09:25.974Z","Gemma Diaz Santa Cruz"
"Home - Stop Engine/Climate - Failure","<p><a href=""https://www.pivotaltracker.com/story/show/185088492"">https://www.pivotaltracker.com/story/show/185088492</a></p>","AVK2","","<p>AVK2 vehicle<br />Engine is ON</p>","Medium","<p>User should see a toast saying:</p><ul><li>""&lt;year and model&gt; failed to stop."" (5 seconds)</li></ul><p>User should see the STOP Engine button is returned to the default (enabled) state<br /><br />User should see the Climate card without changes</p><p>User should continue seeing a countdown timer and the climate icon in the Hero section</p>","<p>Stop engine request has resolved into a failure or 210 seconds have elapsed since sending the initial command</p>","2696","No","Android, Prod,Prod, iOS","2023-09-07T21:10:07.849Z","Allen Chen","","","76.833","","Draft","Passed","2024-08-20T11:27:35.751Z","","proxyman","Case (steps)","2025-04-15T19:57:21.071Z","Mariia Tupchii"
"Home - Stop Engine/Climate - Success","<p><a href=""https://www.pivotaltracker.com/story/show/185088492"">https://www.pivotaltracker.com/story/show/185088492</a></p>","AVK2","","<p>AVK2 vehicle<br />Engine is ON</p>","Sanity","<p>An ""Engine STOP"" button icone is changed to the default (enabled) state</p><p>A success toast ""Climate off, engine stopped for your &lt;year and model&gt;"" is displayed at the bottom (5 sec)<br /><br />A countdown timer and climate icon are dismissed in the Hero section, Fuel Remaining is displayed instead<br /><br />User should see the Climate card with secondary text Off</p>","<p>Engine STOP request has been resolved into a success</p>","2695","No","Android, Prod,Prod, iOS","2023-09-07T21:10:07.836Z","Allen Chen","","","71.714","","Draft","Passed","2026-01-13T19:24:39.500Z","","automation-candidate,proxyman","Case (steps)","2025-09-22T14:09:39.819Z","Gemma Diaz Santa Cruz"
"Horn & Lights Buttons","","Horn & Lights","","","Medium","<p>User should see Horn and Lights buttons in the Telematics row</p>","<p>User is in the Home screen</p>","613","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.450Z","Diego Del Aguila","","","14.571","","Active","Passed","2026-01-13T17:44:24.976Z","","androidautomated-nna,automation-candidate,regression,smoke","Case (steps)","2025-09-22T14:10:10.620Z","Gemma Diaz Santa Cruz"
"Lights - Initiated","","Horn & Lights","","<p>User is on the Home screen</p><p>""Lights"" button is present in the Telematics row</p>","Medium","<p><code>FlashLights</code> API and <code>CheckHornLightServiceRequest</code> API are triggered</p><p>User should see the ""Lights"" button is changed to a spinner and the ""Horn"" button is changed to a disabled state<br /><br />User should see the following toast messages:</p><ul><li> Contacting &lt;year and model&gt; to activate lights...</li><li>Waking &lt;year and model&gt; to activate lights...</li><li>Initiating lights on &lt;year and model&gt;...</li></ul>","<p>User taps the ""Lights"" button</p>","614","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.460Z","Diego Del Aguila","","","40.857","","Active","Failed","2026-01-21T18:45:42.486Z","","automation-candidate,regression,smoke","Case (steps)","2025-09-22T14:10:30.268Z","Gemma Diaz Santa Cruz"
"Lights - Success","","Horn & Lights","","<p>User is on the Home screen</p><p>User has sent a FlashLights request</p><p>CheckHornLightServiceRequest API:</p><p><code>{</code></p><p><code>  ""data"": {</code></p><p><code>    ""checkHornLightServiceRequest"": {</code></p><p><code>      ""__typename"": ""ServiceRequestResult"",</code></p><p><code>      ""status"": ""SUCCESS""</code></p><p><code>    }</code></p><p><code>  }</code></p><p><code>}</code></p>","Medium","<p>""Lights"" and ""Horn"" buttons are changed to the default state</p><p>A success toast ""Lights activated on &lt;year and model&gt;"" is displayed at the bottom of the screen</p>","<p>CheckHornLightServiceRequest request has been resolved into a success</p>","615","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.472Z","Diego Del Aguila","","","81.333","","Active","Passed","2024-08-21T10:48:24.281Z","","automation-candidate,regression,smoke,update-required","Case (steps)","2025-09-22T14:10:54.242Z","Gemma Diaz Santa Cruz"
"Horn - Initiated","","Horn & Lights","","<p>User is in the Home screen</p><p>""Horn"" button is present in the Telematics row</p>","Medium","<p><code>FlashLightsHorn</code> API and <code>CheckHornLightServiceRequest</code> API are triggered</p><p>User should see the ""Horn"" button is changed to a spinner and the ""Lights"" button is changed to a disabled state<br /><br />User should see the following toast messages:</p><ul><li> Contacting &lt;year and model&gt; to activate horn...</li><li>Waking &lt;year and model&gt; to activate horn...</li><li>Initiating horn on &lt;year and model&gt;...</li></ul>","<p>User taps the ""Horn"" button</p>","616","No","Android, Prod,Prod, iOS","2023-08-01T23:08:20.485Z","Diego Del Aguila","","","29.286","","Active","Failed","2026-01-21T18:45:42.486Z","","automation-candidate,regression,smoke","Case (steps)","2025-09-22T14:11:12.409Z","Gemma Diaz Santa Cruz"
